file,deleted
BOHXIG_extracted.pdb,N
BOKSUP_extracted.pdb,Y
BOKTUS_extracted.pdb,Y
BOKVAA_extracted.pdb,Y
BONBIR_extracted.pdb,Y
BONBIR01_extracted.pdb,Y
BONBOX_extracted.pdb,Y
BONPOL_extracted.pdb,Y
BOPBAJ01_extracted.pdb,N
BOPHUK_extracted.pdb,Y
BOPKUN_extracted.pdb,N
BOSNED_extracted.pdb,M
BOSNIH_extracted.pdb,M
BOSPOQ_extracted.pdb,N
BOSZEP_extracted.pdb,N
BOSZIT_extracted.pdb,N
BOSZOZ_extracted.pdb,N
BOSZUF_extracted.pdb,N
BOTBAO_extracted.pdb,N
BOTBES_extracted.pdb,N
BOTLON_extracted.pdb,Y
BOVFAU_extracted.pdb,Y
BOWHIF01_extracted.pdb,Y
BOWRIQ01_extracted.pdb,Y
BOWROU01_extracted.pdb,M
BOWROW01_extracted.pdb,Y
BOWRUC07_extracted.pdb,Y
BOXYES_extracted.pdb,Y
BOYFOK04_extracted.pdb,N
BOYFOK12_extracted.pdb,M
BPTZTD_extracted.pdb,Y
BPZTCT_extracted.pdb,Y
BQXERB_extracted.pdb,Y
BUAMIC_extracted.pdb,Y
BUBWIE_extracted.pdb,Y
BUBWIE01_extracted.pdb,Y
BUCRIA_extracted.pdb,N
BUDQEX_extracted.pdb,Y
BUGBEL_extracted.pdb,Y
BUGROL01_extracted.pdb,Y
BUJMUO_extracted.pdb,Y
BUJNAV_extracted.pdb,Y
BUKVAG_extracted.pdb,N
BUKVEK_extracted.pdb,N
BUKVIO_extracted.pdb,N
BUKVOU_extracted.pdb,N
BUKVUA_extracted.pdb,N
BUKWAH_extracted.pdb,N
BULBUH_extracted.pdb,N
BULCAO_extracted.pdb,N
BULCES_extracted.pdb,N
BULCIW_extracted.pdb,N
BUMWAH_extracted.pdb,M
BUPMII01_extracted.pdb,Y
BUPMII11_extracted.pdb,Y
BURQEM_extracted.pdb,N
BUSJEF_extracted.pdb,Y
BUSWIX_extracted.pdb,Y
BUTHAZ10_extracted.pdb,Y
BUVKOS01_extracted.pdb,N
BUVPOX_extracted.pdb,Y
BUVSEQ_extracted.pdb,M
BUVSEQ02_extracted.pdb,N
BUVSEQ03_extracted.pdb,N
BUXJUZ_extracted.pdb,N
BUXLEN_extracted.pdb,N
BUXNOX_extracted.pdb,Y
BUXNUD_extracted.pdb,N
BUXZID_extracted.pdb,Y
BUYGEH_extracted.pdb,Y
BXODCN_extracted.pdb,M
BZAMTI01_extracted.pdb,Y
BZCPRO_extracted.pdb,Y
CABWAG_extracted.pdb,Y
CABWEK_extracted.pdb,Y
CACQED_extracted.pdb,N
CADDEQ_extracted.pdb,N
CAEYOR_extracted.pdb,N
CAFTAG_extracted.pdb,Y
CAFTEK_extracted.pdb,Y
CAJCOH_extracted.pdb,Y
CAKMEG_extracted.pdb,N
CAKMEG10_extracted.pdb,N
CALJUU10_extracted.pdb,Y
CAMHUU_extracted.pdb,Y
CAMJAC_extracted.pdb,Y
CAMJEG_extracted.pdb,Y
CAMJIK_extracted.pdb,Y
CAMJOQ_extracted.pdb,Y
CAMRAJ_extracted.pdb,Y
CAMSOY_extracted.pdb,Y
CAMYIY_extracted.pdb,Y
CAMZOF_extracted.pdb,N
CAPJOU_extracted.pdb,Y
CAPJUA_extracted.pdb,Y
CAPKAH_extracted.pdb,Y
CARJAG01_extracted.pdb,N
CASSAQ_extracted.pdb,Y
CASYOK_extracted.pdb,Y
CAVKOA_extracted.pdb,N
CAVKUG_extracted.pdb,N
CAVLAN_extracted.pdb,N
CAWDUZ01_extracted.pdb,Y
CAWDUZ11_extracted.pdb,M
CAWXII_extracted.pdb,Y
CAWXOO_extracted.pdb,Y
CAYBUA_extracted.pdb,N
CAYSIF_extracted.pdb,N
CAYXOP_extracted.pdb,Y
CCSNMP_extracted.pdb,Y
CDEXIA01_extracted.pdb,N
CDEXKR10_extracted.pdb,N
CDEXME10_extracted.pdb,N
CDEXTI10_extracted.pdb,N
CDFACM_extracted.pdb,Y
CDURID_extracted.pdb,Y
CDXNEH_extracted.pdb,M
CDXPRO_extracted.pdb,M
CEBNAZ_extracted.pdb,Y
CEBQAD_extracted.pdb,Y
CEBQEH_extracted.pdb,Y
CEBQIL_extracted.pdb,Y
CECXEN_extracted.pdb,Y
CECXIT_extracted.pdb,Y
CEDQAF_extracted.pdb,Y
CEDYUF_extracted.pdb,N
CEDZAM_extracted.pdb,N
CEHKOS_extracted.pdb,N
CEHYIA_extracted.pdb,N
CEHYOG_extracted.pdb,N
CEJXOE_extracted.pdb,N
CEJYAU_extracted.pdb,Y
CEJYEY_extracted.pdb,Y
CEJYIC_extracted.pdb,Y
CEKDEE_extracted.pdb,Y
CEPGIP_extracted.pdb,Y
CEPPOD_extracted.pdb,Y
CEPPUJ_extracted.pdb,Y
CEPQAQ_extracted.pdb,Y
CEPQEU_extracted.pdb,Y
CEQCUW_extracted.pdb,N
CERWAX_extracted.pdb,Y
CESJUF_extracted.pdb,Y
CETPUP_extracted.pdb,N
CEXNUO_extracted.pdb,Y
CEZRIK_extracted.pdb,N
CHXAMH_extracted.pdb,N
CHXAMH01_extracted.pdb,M
CHXAMH02_extracted.pdb,N
CHXAMH03_extracted.pdb,N
CICQIP_extracted.pdb,N
CIDJIK_extracted.pdb,N
CIDJOQ_extracted.pdb,N
CIDJUW_extracted.pdb,N
CIMESY_extracted.pdb,Y
CIMJUF_extracted.pdb,Y
CIMKAM_extracted.pdb,Y
CIMPBR_extracted.pdb,Y
CIMSAS_extracted.pdb,M
CIMZON02_extracted.pdb,M
CIPBOS_extracted.pdb,Y
CIPBUY_extracted.pdb,Y
CIQGOA_extracted.pdb,Y
CIRGEP_extracted.pdb,N
CIRVII_extracted.pdb,Y
CISNEZ_extracted.pdb,Y
CIVLIE_extracted.pdb,Y
CIVLOK_extracted.pdb,Y
CIVLUQ_extracted.pdb,Y
CIVSIL_extracted.pdb,Y
CIWCOC_extracted.pdb,Y
CIWDIX_extracted.pdb,Y
CIWDOD_extracted.pdb,Y
CIWFAR_extracted.pdb,Y
CIWSEG_extracted.pdb,Y
CIZXUG_extracted.pdb,Y
CIZZIW_extracted.pdb,Y
CLACAM03_extracted.pdb,Y
CLACET_extracted.pdb,M
CLEOZP_extracted.pdb,M
CLEOZP10_extracted.pdb,Y
CLFLAC_extracted.pdb,Y
CLMPCL02_extracted.pdb,N
CLPTAZ_extracted.pdb,Y
COCLIP_extracted.pdb,Y
COCLOV_extracted.pdb,N
COCMIQ_extracted.pdb,Y
COCYEY_extracted.pdb,Y
CODVOG_extracted.pdb,N
CODXAW_extracted.pdb,Y
COFCIJ_extracted.pdb,N
COFFAG_extracted.pdb,N
COFFEK_extracted.pdb,N
COHZII_extracted.pdb,N
COHZOO_extracted.pdb,M
COHZOO10_extracted.pdb,N
COHZUU_extracted.pdb,N
COLBAI_extracted.pdb,Y
COMSED_extracted.pdb,Y
COMSIH_extracted.pdb,Y
COMZOT_extracted.pdb,N
COMZOT01_extracted.pdb,N
CONJAS_extracted.pdb,Y
CONJUM_extracted.pdb,Y
CONKAT_extracted.pdb,Y
CONWIL_extracted.pdb,Y
CONWOR_extracted.pdb,Y
COPXUA_extracted.pdb,Y
COQBAL_extracted.pdb,N
COQBEP_extracted.pdb,N
COQJIB_extracted.pdb,Y
CORMUS_extracted.pdb,N
COSCUJ_extracted.pdb,Y
COSCUJ01_extracted.pdb,Y
COSDAQ_extracted.pdb,Y
COSDEU_extracted.pdb,Y
COSDEU01_extracted.pdb,Y
COSDIY_extracted.pdb,Y
COSMED_extracted.pdb,Y
COVXAM_extracted.pdb,N
COVXUH_extracted.pdb,Y
COVXUI_extracted.pdb,N
COVZAQ_extracted.pdb,Y
COVZEU_extracted.pdb,Y
COWSAI_extracted.pdb,Y
COWSEM_extracted.pdb,Y
COXYIX_extracted.pdb,Y
COYBOH_extracted.pdb,N
COYCAU_extracted.pdb,N
COYCOJ_extracted.pdb,N
COYCUP_extracted.pdb,N
COYDAW_extracted.pdb,N
COYDEA_extracted.pdb,N
COYKEI_extracted.pdb,Y
COZBOI_extracted.pdb,Y
COZRUF_extracted.pdb,N
CPENTS_extracted.pdb,Y
CPSMCP_extracted.pdb,M
CPTZTR_extracted.pdb,Y
CPYROL_extracted.pdb,M
CRHYDZ_extracted.pdb,N
CTHBAR_extracted.pdb,Y
CUCDIP_extracted.pdb,Y
CUCMOC_extracted.pdb,N
CUCMUI_extracted.pdb,N
CUCNAP_extracted.pdb,M
CUGCIR_extracted.pdb,Y
CUHRII_extracted.pdb,Y
CULCAN_extracted.pdb,N
CULCER_extracted.pdb,M
CULCIV_extracted.pdb,N
CUMPAC_extracted.pdb,Y
CUMPEG_extracted.pdb,N
CUMPIK_extracted.pdb,N
CUMPOQ_extracted.pdb,Y
CUMPUW_extracted.pdb,Y
CUNLUS_extracted.pdb,N
CUNMAZ_extracted.pdb,Y
CUNPEH_extracted.pdb,Y
CUNQAF_extracted.pdb,Y
CUQGIE_extracted.pdb,Y
CUTHOQ_extracted.pdb,Y
CUTHUW_extracted.pdb,N
CUTJIM_extracted.pdb,Y
CUTJOS_extracted.pdb,N
CUTJUY_extracted.pdb,N
CUTKAF_extracted.pdb,Y
CUTKEJ_extracted.pdb,Y
CUTKIN_extracted.pdb,Y
CUTKOT_extracted.pdb,Y
CUTREQ_extracted.pdb,Y
CUTVAO_extracted.pdb,Y
CUVHAC01_extracted.pdb,N
CUVRAN_extracted.pdb,N
CUWGIK10_extracted.pdb,Y
CUZTIA_extracted.pdb,Y
CUZTOG_extracted.pdb,M
CYCYPH10_extracted.pdb,Y
CYDXKR10_extracted.pdb,N
CYDXLI10_extracted.pdb,N
CYDXPL_extracted.pdb,N
CYDXTC_extracted.pdb,M
CYDXTE_extracted.pdb,M
CYDXTF_extracted.pdb,M
DABPII_extracted.pdb,Y
DABROP_extracted.pdb,Y
DABRUV_extracted.pdb,Y
DABSAC_extracted.pdb,Y
DABXEM_extracted.pdb,N
DADBOA_extracted.pdb,Y
DADREH_extracted.pdb,Y
DADRIL_extracted.pdb,Y
DAGKOM_extracted.pdb,Y
DAHCOE_extracted.pdb,Y
DAJFOK_extracted.pdb,N
DAJFUQ_extracted.pdb,N
DAJGAX_extracted.pdb,N
DAJGAZ_extracted.pdb,N
DAJGEB_extracted.pdb,N
DAJGED_extracted.pdb,N
DAJGIH_extracted.pdb,N
DALZIZ_extracted.pdb,Y
DANYAV_extracted.pdb,N
DANYEZ_extracted.pdb,N
DANYID_extracted.pdb,N
DAQCII_extracted.pdb,Y
DAQCOO_extracted.pdb,Y
DAQCUU_extracted.pdb,Y
DAQMIR_extracted.pdb,Y
DARGOT01_extracted.pdb,M
DASTEZ_extracted.pdb,Y
DASTID_extracted.pdb,Y
DATGAG_extracted.pdb,N
DAVREZ_extracted.pdb,Y
DAWRID_extracted.pdb,Y
DAWROJ_extracted.pdb,Y
DAWRUP_extracted.pdb,Y
DAXMOE_extracted.pdb,Y
DAXMUK_extracted.pdb,N
DAZRAA_extracted.pdb,Y
DEBFOI_extracted.pdb,Y
DEBFUO_extracted.pdb,Y
DEBGAV_extracted.pdb,Y
DEBKUR01_extracted.pdb,Y
DEBSUA_extracted.pdb,Y
DEBTIQ_extracted.pdb,N
DEBVOX_extracted.pdb,Y
DEBVUD_extracted.pdb,Y
DEFFOM_extracted.pdb,Y
DEFVUG_extracted.pdb,Y
DEFWAN_extracted.pdb,Y
DEHQEM01_extracted.pdb,Y
DEHWIW_extracted.pdb,Y
DEJSIW_extracted.pdb,Y
DEJSOC_extracted.pdb,Y
DEJWIA_extracted.pdb,M
DEJWOG_extracted.pdb,Y
