cif,deleted
ACIYOC_extracted.cif,N
ACIZOD_extracted.cif,Y
ACIZUJ_extracted.cif,Y
ACLACT_extracted.cif,Y
ACMEBZ_extracted.cif,Y
ACMSEU_extracted.cif,Y
ACMZSD_extracted.cif,M
ACNDNB_extracted.cif,Y
ACNPHA_extracted.cif,Y
ACNPHB_extracted.cif,Y
ACNPHC_extracted.cif,Y
ACNPHD_extracted.cif,Y
ACNPHE_extracted.cif,Y
ACNPHY01_extracted.cif,Y
ACNYLI_extracted.cif,Y
ACOBAX_extracted.cif,Y
ACOBUR_extracted.cif,Y
ACOFUV_extracted.cif,Y
ACOGAC_extracted.cif,Y
ACOGEG_extracted.cif,Y
ACOGIK_extracted.cif,Y
ACOGOQ_extracted.cif,Y
ACOGUW_extracted.cif,Y
ACOHEH_extracted.cif,Y
ACOJUZ_extracted.cif,Y
ACOKAG_extracted.cif,N
ACOKEK_extracted.cif,Y
ACOLET10_extracted.cif,Y
ACONUD_extracted.cif,Y
ACOPAL_extracted.cif,Y
ACOPIT_extracted.cif,Y
ACOQIS_extracted.cif,N
ACOREP_extracted.cif,Y
ACOSER_extracted.cif,Y
ACOTAP_extracted.cif,Y
ACOTIX_extracted.cif,Y
ACOTOB_extracted.cif,Y
ACOTOD_extracted.cif,Y
ACOVEW_extracted.cif,Y
ACOZEX_extracted.cif,Y
ACPENC10_extracted.cif,Y
ACSALA01_extracted.cif,Y
ACSARM_extracted.cif,Y
ACTHYM_extracted.cif,Y
ACUDEI02_extracted.cif,Y
ACUFIP_extracted.cif,Y
ACUHAK_extracted.cif,Y
ACUHIS_extracted.cif,Y
ACUHIS01_extracted.cif,Y
ACUHOY_extracted.cif,Y
ACUHOY01_extracted.cif,Y
ACUKER_extracted.cif,Y
ACUKIV_extracted.cif,Y
ACUKOA_extracted.cif,Y
ACUKUG_extracted.cif,Y
ACULAN_extracted.cif,Y
ACULEP_extracted.cif,Y
ACULER_extracted.cif,Y
ACULIT_extracted.cif,Y
ACULIT01_extracted.cif,Y
ACULIV_extracted.cif,Y
ACULIV01_extracted.cif,Y
ACULOZ_extracted.cif,Y
ACUNUJ_extracted.cif,Y
ACUPAR_extracted.cif,Y
ACUPUL_extracted.cif,Y
ACUQAQ_extracted.cif,Y
ACUQAS_extracted.cif,Y
ACUQEU_extracted.cif,Y
ACUQEW_extracted.cif,Y
ACUQIA_extracted.cif,Y
ACUQIY_extracted.cif,Y
ACURAT_extracted.cif,Y
ACURUN_extracted.cif,Y
ACUSAU_extracted.cif,Y
ACUTAW_extracted.cif,Y
ACUWAY_extracted.cif,Y
ACUWOL_extracted.cif,Y
ACUWOL01_extracted.cif,Y
ACUWOM_extracted.cif,Y
ACUWUS_extracted.cif,Y
ACUXAZ_extracted.cif,Y
ACUXED_extracted.cif,Y
ACUXIH_extracted.cif,Y
ACUXON_extracted.cif,Y
ACUXOO_extracted.cif,Y
ACUYAA_extracted.cif,Y
ACUYEE_extracted.cif,Y
ACUYII_extracted.cif,Y
ACUYOO_extracted.cif,Y
ACUZAB_extracted.cif,N
ACUZEF_extracted.cif,Y
ADABOX_extracted.cif,N
ADAFES_extracted.cif,N
ADAFIW_extracted.cif,Y
ADAGAQ_extracted.cif,Y
ADAKAS_extracted.cif,Y
ADAKEW_extracted.cif,Y
ADALEX_extracted.cif,Y
ADAMAW_extracted.cif,Y
ADAMEY_extracted.cif,Y
ADANEZ_extracted.cif,Y
ADANIF_extracted.cif,Y
ADANOL_extracted.cif,Y
ADANUR_extracted.cif,Y
ADAPAZ_extracted.cif,Y
ADAPEB_extracted.cif,Y
ADAPED_extracted.cif,Y
ADAPIF_extracted.cif,Y
ADAPUS_extracted.cif,Y
ADAQAY_extracted.cif,N
ADAQAZ_extracted.cif,Y
ADAQEC_extracted.cif,Y
ADAQED_extracted.cif,Y
ADAQUS_extracted.cif,Y
ADARIH_extracted.cif,Y
ADARUU_extracted.cif,N
ADASAA_extracted.cif,Y
ADASEE_extracted.cif,Y
ADATEF_extracted.cif,Y
ADATIJ_extracted.cif,Y
ADATUV_extracted.cif,Y
ADAVIL_extracted.cif,Y
ADAVUX_extracted.cif,Y
ADAWEI_extracted.cif,Y
ADAWIM_extracted.cif,Y
ADAXIN_extracted.cif,Y
ADAYIO_extracted.cif,Y
ADAZIR_extracted.cif,M
ADAZOV_extracted.cif,Y
ADECIW_extracted.cif,Y
ADEDAP_extracted.cif,Y
ADEFAR_extracted.cif,Y
ADEJID_extracted.cif,Y
ADEJUP_extracted.cif,Y
ADEKAW01_extracted.cif,Y
ADELAX_extracted.cif,Y
ADELAX01_extracted.cif,Y
ADELIG_extracted.cif,Y
ADELIH_extracted.cif,Y
ADELOL_extracted.cif,Y
ADELON_extracted.cif,Y
ADELUT_extracted.cif,N
ADEMIG_extracted.cif,Y
ADENIJ_extracted.cif,Y
ADENIJ01_extracted.cif,Y
ADENOP_extracted.cif,Y
ADEQUW_extracted.cif,Y
ADERIL_extracted.cif,Y
ADEVUB_extracted.cif,Y
ADEWIQ_extracted.cif,Y
ADEXAJ_extracted.cif,Y
ADEXUF_extracted.cif,Y
ADEYUE_extracted.cif,Y
ADEZAL01_extracted.cif,Y
ADEZEP_extracted.cif,Y
ADEZOA_extracted.cif,Y
ADGALA01_extracted.cif,Y
ADIBAR_extracted.cif,Y
ADIBEV_extracted.cif,Y
ADIBOF_extracted.cif,Y
ADICAS_extracted.cif,Y
ADICUO_extracted.cif,Y
ADIDAT_extracted.cif,Y
ADIDAT01_extracted.cif,Y
ADIDUN_extracted.cif,Y
ADIDUP_extracted.cif,Y
ADIFAX_extracted.cif,Y
ADIFOK_extracted.cif,Y
ADIFUQ_extracted.cif,Y
ADIGAX_extracted.cif,Y
ADIGIE_extracted.cif,Y
ADIGOK_extracted.cif,Y
ADIHIG_extracted.cif,Y
ADIHOK_extracted.cif,Y
ADIHUQ_extracted.cif,Y
ADIHUT_extracted.cif,Y
ADIJAB_extracted.cif,Y
ADIJAY_extracted.cif,N
ADIJEC_extracted.cif,Y
ADIJEF_extracted.cif,Y
ADIJIG_extracted.cif,Y
ADIJOM_extracted.cif,Y
ADIJON_extracted.cif,Y
ADIJUS_extracted.cif,Y
ADIKAA_extracted.cif,Y
ADIKAZ_extracted.cif,Y
ADIKED_extracted.cif,Y
ADIKII_extracted.cif,Y
ADIKOQ_extracted.cif,Y
ADIKUW_extracted.cif,Y
ADILAB_extracted.cif,Y
ADILUV_extracted.cif,Y
ADIMAC_extracted.cif,Y
ADINAF_extracted.cif,Y
ADINEJ_extracted.cif,Y
ADIPAC19_extracted.cif,Y
ADIPOU_extracted.cif,N
ADIRAH_extracted.cif,Y
ADIREL_extracted.cif,Y
ADISAI_extracted.cif,Y
ADISEM_extracted.cif,Y
ADISIQ_extracted.cif,Y
ADISOW_extracted.cif,Y
ADISUC_extracted.cif,Y
ADITAJ_extracted.cif,Y
ADITEN_extracted.cif,Y
ADITIR_extracted.cif,Y
ADITOX_extracted.cif,Y
ADITUD_extracted.cif,Y
ADLFUC_extracted.cif,Y
ADOFAB_extracted.cif,N
ADOFEF_extracted.cif,Y
ADOFOP_extracted.cif,Y
ADOFUV_extracted.cif,Y
ADOJOS_extracted.cif,Y
ADOKIP_extracted.cif,Y
ADOMAJ_extracted.cif,Y
ADONUE_extracted.cif,Y
ADOPAM_extracted.cif,Y
ADOPOA_extracted.cif,Y
ADOPUG_extracted.cif,Y
ADOPUH_extracted.cif,Y
ADOQAL_extracted.cif,Y
ADOQAO_extracted.cif,N
ADOQUI_extracted.cif,Y
ADOSEU_extracted.cif,N
ADOSIY_extracted.cif,N
ADOSOE_extracted.cif,N
ADPROP_extracted.cif,Y
ADPTHZ_extracted.cif,Y
ADUBAF_extracted.cif,Y
ADUBEJ_extracted.cif,Y
ADUBIN_extracted.cif,Y
ADUBOT_extracted.cif,Y
ADUBUZ_extracted.cif,Y
ADUCEK_extracted.cif,Y
ADUCUA_extracted.cif,N
ADULET_extracted.cif,Y
ADULOA_extracted.cif,Y
ADUNIZ_extracted.cif,Y
ADUQUN_extracted.cif,Y
ADURAT_extracted.cif,Y
ADUSAW_extracted.cif,Y
ADUTEA_extracted.cif,Y
ADUTEZ_extracted.cif,Y
ADUTIE_extracted.cif,Y
ADUVEC_extracted.cif,N
ADUVIF_extracted.cif,Y
ADUWAA_extracted.cif,Y
ADUWAZ_extracted.cif,N
ADUWED_extracted.cif,Y
ADUXEE_extracted.cif,Y
ADYPNL_extracted.cif,Y
ADYPUR10_extracted.cif,Y
AFACUF_extracted.cif,Y
AFADAP_extracted.cif,Y
AFAGAS_extracted.cif,Y
AFAJEZ_extracted.cif,Y
AFAJID_extracted.cif,Y
AFAKOK_extracted.cif,Y
AFAKUQ_extracted.cif,Y
AFALAX_extracted.cif,Y
AFALEB_extracted.cif,Y
AFAPIH_extracted.cif,Y
AFAPON_extracted.cif,Y
AFAPUT_extracted.cif,Y
AFASOQ_extracted.cif,Y
AFATEJ_extracted.cif,Y
AFAWIO_extracted.cif,Y
AFAWIQ_extracted.cif,Y
AFAWOU_extracted.cif,Y
AFAWOW_extracted.cif,Y
AFAXOV_extracted.cif,Y
AFAYAK_extracted.cif,Y
AFAYOV_extracted.cif,Y
AFAYUD_extracted.cif,Y
AFAZEP_extracted.cif,Y
AFAZIT_extracted.cif,Y
AFEBUI02_extracted.cif,M
AFEDEU_extracted.cif,Y
AFEDEU01_extracted.cif,Y
AFEFID_extracted.cif,Y
AFEFUM_extracted.cif,N
AFEGAT_extracted.cif,N
AFEGAW_extracted.cif,Y
AFEJIH_extracted.cif,Y
AFELUT_extracted.cif,Y
AFENIK_extracted.cif,Y
AFEPOR_extracted.cif,Y
AFEQIM_extracted.cif,Y
AFEQOS_extracted.cif,Y
AFERUZ_extracted.cif,Y
AFETIP_extracted.cif,Y
AFETOV_extracted.cif,Y
AFEVAJ_extracted.cif,Y
AFEVOZ_extracted.cif,Y
AFEVUF_extracted.cif,Y
AFEWAM_extracted.cif,Y
