file,deleted
AFUTAY_extracted.pdb,Y
AFUTUR_extracted.pdb,Y
AFUVAB_extracted.pdb,Y
AFUVOP_extracted.pdb,Y
AFUWUV_extracted.pdb,Y
AFUYEF_extracted.pdb,Y
AFUYEI_extracted.pdb,Y
AFUZEJ_extracted.pdb,Y
AFUZOT_extracted.pdb,Y
AGADIX_extracted.pdb,Y
AGADOE_extracted.pdb,Y
AGAFUM_extracted.pdb,Y
AGAGEW_extracted.pdb,Y
AGAGIA_extracted.pdb,Y
AGAGUK_extracted.pdb,Y
AGAHAR_extracted.pdb,Y
AGAHOI_extracted.pdb,N
AGAHUO_extracted.pdb,N
AGAJAT_extracted.pdb,N
AGAJAW_extracted.pdb,N
AGAJEA_extracted.pdb,N
AGAJIE_extracted.pdb,N
AGAJOK_extracted.pdb,N
AGAJUQ_extracted.pdb,N
AGAKAX_extracted.pdb,N
