LITJAZ,n,n
LITJED,n,n
LODFEQ,n,n
LOJMIH,n,n
LOPKIM,n,y
LUPMAL,n,y
MAGJUC,n,y
MALGUD,n,n
MALHAK,y,y
MALHEO,y,y
MAVVAI,n,y
MESKIE,n,y
MESTUA,n,y
MOTWUP01,n,y
MOTZOM,n,y
MOVBAC,n,y
MOVBUW,n,y
MOVCEH,n,y
NERYOB,y,y
NIMMII,y,y
NODVIN,n,y
NODVOT,n,y
NODWEK,n,y
NOLSEO,n,y
NOLSIS,y,y
NOLSOY,y,y
NOLSUE,y,y
NOVNAP,n,n
NOWBUY,n,n
NOWCAF,n,n
NOWCEJ,n,n
NUGZIA,n,y
NUGZOG,n,y
NUXHIZ,n,y
OFOQAE,n,y
OFOQEI,n,y
OFOQIM,y,y
OFOQOS,y,y
OJITIL,n,y
OJITOR,n,n
OJIVAF,n,y
OJIVEJ,n,y
OJIVIN,n,y
OJIVOT,y,y
OJIVUZ,y,y
ORAVOU,y,y
OSOBUU,n,y
OSOBUU01,y,y
OVENEK,n,y
OVENIO,n,y
OVENOU,n,y
OVUVOS,y,y
OYAWUI,n,n
OZEBUR,n,n
OZECAY,n,n
OZECAY01,n,n
OZECAY02,n,n
OZECAY03,n,n
OZECAY04,n,n
OZECIG,n,y
PACZUP,n,y
PADBEC,n,y
PALWAA,n,n
PELSAD,n,n
PELSEH,y,y
PELSIL,y,y
PELSOR,y,y
PEPSOS,n,n
PIFHIY,y,y
PIFHUK,n,y
PIFJAS,n,y
PIFJOG,n,y
PIFJUM,n,y
PIFKAT,y,y
PIFKEX,y,y
PIFKIB,y,y
PIFKOH,n,y
PIFKUN,n,y
PIFTOQ,n,y
PIFTUW,y,y
PIFVAE,n,n
PIFVIM,n,y
PIFVOS,n,y
PIFVUY,n,y
PIFWAF,y,y
POZZAG,n,y
POZZEK,y,y
PUBYAM,n,n
PUBYIU,n,n
PUBYOA,n,n
PUDWOB,y,y
PUDWOB01,y,y
PUDWUH,n,n
PUDWUH02,n,n
PUDXAO,y,y
PUDXES,n,n
PUDXES01,n,n
PUDXES02,n,n
PUDXES03,n,n
PUDXES04,n,n
PUTREC,y,y
PUXGUK,n,n
PUZKOL,y,y
PUZLAY,n,n
PYEXDA,n,n
QACPOB,n,y
QACQES,n,n
QACQIW,y,y
QACQOC,n,y
QACRAP,n,y
QADFAE,n,y
QAFWUS,n,y
QAGJUG01,y,y
QIXPES,n,y
QIXPIW,n,y
QORVEA,y,y
QORVIE,y,y
QORVOK,y,y
QORVUQ,n,y
QORWAX,y,y
QORWEB,y,y
QORWIF,y,y
QORWOL,n,n
QORWUR,y,y
QORXAY,y,y
QOVJOB,n,y
QUFYIB,y,y
QUFYOH,y,y
REFVON,n,y
REFVUT,n,n
REFVUT01,n,n
REFWAA,n,y
REFWEE,n,n
REFWII,n,y
RELZEQ,n,n
RELZIU,n,y
RELZOA,n,n
RELZUG,n,n
REMBAP,y,y
REMBET,n,y
RENZES,n,y
REQXES,y,y
REYMAL,y,y
RURZUB,y,y
SAQYAM,n,y
SARNUW,y,y
SARPAE,n,y
SATJAA,y,y
SATJEE,y,y
SAVYAS,y,y
SEHCOX,n,n
SENNOR,n,y
SENNUX,n,y
SENPAF,n,n
SENPIN,n,y
SENPOT,n,y
SENPUZ,n,y
SENQAG,n,y
SENQEK,n,y
SENQIO,n,y
SENQOU,n,y
SENQUA,n,y
SENRAH,n,y
SENREL,n,y
SIRZAU,n,y
SOMSIW,n,y
SUYVAJ,n,y
SUYVIR,n,n
TATVER,n,y
TECVUU,y,y
TEMXAN,n,n
TEMXER,n,y
TIWLUG,n,n
TOBGOI,n,n
TOVWUY,y,y
UHERIJ,n,y
UHEROP,y,y
UHERUV,n,y
UHESAC,n,y
UJEPAB,n,n
UJEPEF,n,n
UPISOC,n,n
USENEN,y,y
USENIR,y,y
UTEVAR,y,y
UTEVEV,n,y
UTEVIZ,n,y
UTEVOF,n,y
UVISIC,n,y
UWODUG,y,y
UWOFAO,y,y
UWOFES,n,n
UWOFIW,n,n
UYUWAN,n,n
UYUXIW,n,n
UYUXOC,y,y
UYUXUI,n,y
VIWQOH,n,n
VIXNUM,y,y
VOFRUF,n,y
VOLZON,n,y
VOMPAQ,n,y
VOMPEU,n,y
VOMPIY,n,y
VOWTUY,n,n
VOWVEK,n,n
VUNQOM,y,y
WECPAV,n,y
WIFSOU,n,n
WINBUQ,n,n
WINCIF,n,y
WIQHOW,n,y
WIQHUC,n,n
WIQJAK,n,y
WIQNAO,n,y
WIQNIW,n,n
WOGBOJ,n,n
WUTJOM,n,y
XAMQEK,n,n
XAMQIO,n,y
XAMQOU,n,y
XAMQUA,n,y
XAYMOC,y,y
XAYMUI,y,y
XIVYUZ,n,y
XIVZAG,n,y
XIVZEK,n,n
XOTHUL,y,y
XOTJAT,y,y
XUFSUO,n,y
YAVQAN,n,y
YAVQER,n,y
YEDNAZ,n,y
YIGPOW,n,y
YIGQEN,y,y
YUKHOD,n,y
YUZHAE,y,y
ZAPKIK,n,y
ZAPKOQ,n,y
ZECMUP01,n,n
ZIRCIO,y,y
ZUYPUG,n,y
ZUYQAN,n,y
