REFCODE,molecule,pore_diam_opt,no_windows,classification
ABILIJ,15,5.613289827311967,4,
ABILIJ,16,5.518706801194718,4,
ABILIJ,20,5.6127101703162605,4,
ABILIJ,22,1.4901948226130348,2,
ABILIJ,23,5.428548360688177,4,
ABILOP,0,3.5143785976139648,3,
ABILOP,1,3.5439416631608767,3,
ABILOP,8,3.685583612743713,3,
ABILOP,44,0.2195653842537064,2,
ABILOP,47,0.19032756929885866,2,
ABILOP,52,0.1903441408319737,2,
ABILUV,1,3.8583945324275017,5,
ABILUV,2,3.860143820909257,5,
ABILUV,3,3.8588618507138186,5,
ABIMAC,0,3.637766427668791,3,
ABIMAC,1,3.653610356318041,3,
ABIMAC,3,3.607550257907127,3,
ABIMEG,0,3.72675917922046,4,
ABIMEG,1,3.7273725068599814,5,
ABIMEG,2,3.72657076769824,4,
ABIMEG,3,3.7273726090086217,5,
ABIMIK,0,3.4418587910872684,3,
ABIMIK,2,3.4419317678103165,3,
ABIMIK,4,3.441648679379282,3,
ABIMIK,11,3.4421505347674866,3,
ABIMUW,0,1.1052533996666312,2,
ABIMUW,1,1.1209286064898527,2,
ABIMUW,2,1.1183037086754637,2,
ABIMUW,4,1.121844167912576,2,
ABIMUW,5,1.0678970057040122,2,
ABIMUW,6,1.0680579121049658,2,
ABINAD,0,1.2495975461575122,2,
ABINAD,1,1.1966511679123824,2,
ABINAD,2,1.2495767288908923,2,
ABINAD,3,1.2493055448277215,2,
ABINAD,4,1.2495084343210778,2,
ABINAD,5,1.195759079293643,2,
ABINIL,0,6.3017962272211125,5,
ABINIL,2,6.43322695763888,5,
ABINIL,3,6.4338560345796605,5,
ABINIL,11,6.243069935873537,5,
ABINIL,14,6.243543581132169,5,
ABINIL,42,6.242916390249209,5,
ABINIL,49,6.508699037732329,5,
ABINIL,50,6.509045842780777,5,
ABINIL,82,6.433220101144898,5,
ABINIL,84,6.502355126141148,5,
ABINIL,116,6.302363557720245,5,
ABINIL,117,6.243083124168472,5,
ABINUX,0,2.275130156705208,2,
ABINUX,1,2.2746630948637496,2,
ABINUX,2,2.2748513391498406,2,
ABINUX,3,2.2748370210291315,2,
ABINUX,4,2.274845302867201,2,
ABINUX,5,2.2751301574292864,2,
ABIPAF,0,6.366834410190856,5,
ABIPAF,1,6.367002504122317,5,
ABIPAF,2,6.366906903905638,5,
ABIPAF,3,6.3669960975356785,5,
ABIPAF,4,6.366959274784668,5,
ABIPAF,5,6.366833735041789,5,
ABIPEJ,0,5.902961587289331,5,
ABIPEJ,4,5.902950149039331,5,
ABIPEJ,7,5.903258769972902,5,
ABIPEJ,8,5.9029476472152185,5,
ABIPEJ,9,5.902937994188108,5,
ABIPEJ,11,5.902960465400188,5,
ABIQEK,0,5.3316155829503815,4,
ABIQEK,1,5.331614018770057,4,
ABIQEK,2,4.107475635541009,5,
ABIQEK,3,4.1075287039400825,5,
ABIQEK,4,5.331610855434214,4,
ABIQEK,5,5.3316140832348635,4,
ABIQIO,0,5.3652401438662825,4,
ABIQIO,1,5.364579127262396,4,
ABIQIO,2,5.300744892531091,5,
ABIQIO,3,5.300165034533238,5,
ABIQIO,4,5.364579123117643,4,
ABIQIO,5,5.365240933754123,4,
ABOJOR,0,2.3349128482744046,2,
ABOJOR,1,2.100584803857828,2,
ABOLUY,0,2.8259173555259083,2,
ABOLUY,1,2.834036738666837,2,
ABOLUY,2,2.8601424506011326,2,
ABOLUY,3,2.8259201323720182,2,
ABOLUY,4,2.8343178295749145,2,
ABOLUY,5,2.8378830740275496,2,
ABOLUY,10,2.836530038402004,2,
ABOLUY,11,2.8256252398006407,2,
ABOMAF,2,1.737226534578499,2,
ABOMAF,3,1.735644507592593,2,
ABOMEJ,0,2.774980967153239,2,
ABOMEJ,1,2.5100838717926792,2,
ABOMEJ,6,2.509899179547484,2,
ABOMEJ,7,2.509899179547484,2,
ABOMEJ,8,2.5088292939596566,2,
ABOMEJ,9,2.5088292939596566,2,
ABOMIN,0,2.61955687669511,2,
ABOMIN,1,2.8712476746595357,2,
ABOMIN,4,2.8698912815071296,2,
ABOMIN,5,2.8714279994664595,2,
ABOMIN,13,2.8710444573220486,2,
ABOMIN,18,2.8709845269855863,2,
ABOMIN,27,2.8714280476148666,2,
ABOMIN,28,2.6196018332057336,2,
ABOMIN01,0,2.61955687669511,2,
ABOMIN01,1,2.8712476746595357,2,
ABOMIN01,4,2.8698912815071296,2,
ABOMIN01,5,2.8714279994664595,2,
ABOMIN01,13,2.8710444573220486,2,
ABOMIN01,18,2.8709845269855863,2,
ABOMIN01,27,2.8714280476148666,2,
ABOMIN01,28,2.6196018332057336,2,
ABOMUZ,0,3.3953033800910486,3,
ABOMUZ,1,2.9456229748367764,2,
ABOMUZ,2,3.4660935139134588,3,
ABOMUZ,3,3.466695389098464,3,
ABOMUZ01,0,3.3953033800910486,3,
ABOMUZ01,1,2.9456229748367764,2,
ABOMUZ01,2,3.4660935139134588,3,
ABOMUZ01,3,3.466695389098464,3,
ABONEK,0,4.5496758524580585,2,
ABONEK,1,4.018317204967765,2,
ABONEK,2,4.5496758506772,2,
ABONEK,3,4.090371725986392,2,
ABONEK,4,4.040233725203338,2,
ABONEK,5,4.0542871804291405,2,
ABONEK,6,4.0191968611384885,2,
ABONEK,7,4.057168985171197,2,
ACAVAE,0,4.255126899999134,2,
ACAVAE,1,4.255126899999098,2,
ACAVAE,14,4.255126899999169,2,
ACAVAE,15,4.255126899999134,2,
ACAVAE,18,4.255153103852287,2,
ACAVAE,19,4.25515310385218,2,
ACAVAE,34,4.255153103852342,2,
ACAVAE,35,4.255153103852321,2,
ACEVUB,2,0.8054847987694802,2,
