CIF,NAperUC
FUDRUR_extracted.cif,230
FUHXOX_extracted.cif,752
FUNCUN_extracted.cif,1676
GACVUC_extracted.cif,820
GAFHED_extracted.cif,1522
GAFHIH_extractedm.cif,2188
GAFHON_extracted.cif,1464
GAJWUM_extracted.cif,1157
GAKFIK_extracted.cif,1840
GAKFOQ_extracted.cif,3244
GARWUR_extracted.cif,3600
GARYAZ_extracted.cif,1152
GAWHUJ_extracted.cif,452
GAYLAW_extractedm.cif,13836
GAYLEA_extractedm.cif,2580
GEBHEC_extracted.cif,1106
GEBHIG_extracted.cif,1046
GENWON_extracted.cif,1116
GENWUT_extracted.cif,1048
GENXAA_extracted.cif,1040
GENXEE_extracted.cif,984
GEQSEC_extracted.cif,228
GEQSIG_extracted.cif,244
GEQSOM_extracted.cif,292
GEQSUS_extracted.cif,225
GERCOX_extracted.cif,744
GERCUD_extracted.cif,1136
GERDAK_extracted.cif,656
GEWMUT_extracted.cif,860
GEWPEG_extracted.cif,934
GIDFEG_extracted.cif,1092
GIDFIK_extracted.cif,2100
GIDFOQ_extracted.cif,1034
GIDFUW_extracted.cif,1086
GIDGAD_extracted.cif,1002
GIDGEH_extractedm.cif,2580
GIDGIL_extracted.cif,1620
GIDGOR_extracted.cif,1820
GIDGUX_extracted.cif,1832
GIDHAE_extracted.cif,1092
GIDLOX_extracted.cif,432
GIDLUD_extracted.cif,256
GIDMEO_extracted.cif,522
GIHSAU_extracted.cif,105
GIHSEY_extracted.cif,380
GIJFUD_extracted.cif,99
GIKDEM_extracted.cif,586
GIKDIQ_extracted.cif,548
GIXKEE_extracted.cif,302
GIYMOR_extracted.cif,1658
GIYMUX_extracted.cif,2072
GOHSOM_extracted.cif,674
GOJREC_extracted.cif,546
GOMVUZ_extracted.cif,322
GOYGEG_extracted.cif,478
GOYGIK_extracted.cif,1892
GULREK_extracted.cif,484
GULRIO_extracted.cif,1288
GULROU_extracted.cif,380
GUPPOW01_extracted.cif,88
GUPPOW_extracted.cif,96
GUSRAP_extracted.cif,1070
GUSRET_extracted.cif,998
GUSRIX_extracted.cif,890
GUSROD_extracted.cif,838
GUSRUJ_extracted.cif,780
GUSSAQ_extracted.cif,816
GUWNOB_extracted.cif,492
GUWNUH_extracted.cif,718
HABJEB_extracted.cif,886
HABJIF_extracted.cif,1510
HABJOL_extracted.cif,725
HABJUR_extracted.cif,820
HABKAY_extracted.cif,760
HASCIP_extractedm.cif,1900
HAWJEX_extracted.cif,414
HAWMOK_extracted.cif,576
HEPWIL_extracted.cif,892
HEPWOR_extractedm.cif,4192
HEQQID_extracted.cif,516
HEYPOT_extracted.cif,1940
HEYPUZ_extracted.cif,7908
HICBED_extracted.cif,1076
HICBIH01_extracted.cif,1096
HICBIH_extracted.cif,1144
HICBUT_extracted.cif,544
HICCAA_extracted.cif,506
HICCEE_extracted.cif,1072
HICCII_extracted.cif,896
HIDMUF_extracted.cif,1300
HIHMAP_extracted.cif,588
HIHMET_extracted.cif,536
HIPSOQ_extracted.cif,1400
HIPSUW_extracted.cif,1636
HITHID_extracted.cif,308
HITHOJ_extracted.cif,324
HITHUP_extracted.cif,312
HIZFEB_extracted.cif,698
HOBDEI_extracted.cif,320
HOBDIM_extracted.cif,1092
HOHJOF_extracted.cif,942
HOHJUL_extracted.cif,668
HOJBIT_extracted.cif,1888
HOJBOZ_extracted.cif,1156
HOJBUF_extracted.cif,1004
HOJCAM_extracted.cif,1148
HOMLOM_extracted.cif,1920
HOMLUS_extractedm.cif,4060
HOMROR_extracted.cif,1576
HOMRUX_extracted.cif,2672
HOMSAE_extracted.cif,1554
HOMSEI_extracted.cif,10800
HOPXUG_extracted.cif,150
HUBRUS_extracted.cif,322
HUBSAZ_extracted.cif,510
HUBSED_extracted.cif,298
HUHBAN_extracted.cif,208
HUHBER_extracted.cif,334
HUJNIK_extracted.cif,309
HUKGUQ_extracted.cif,588
HUKHAX_extracted.cif,748
HUQVUL_extracted.cif,232
HUXXAA_extracted.cif,316
